'h'		1572905758.6608298
'e'		1572905758.8990636
'l'		1572905759.284694
'l'		1572905759.569826
'o'		1572905759.8327267
Key.space		1572905760.3706477
't'		1572905760.6020505
'h'		1572905760.7490606
'e'		1572905760.8874154
'r'		1572905761.0187469
'e'		1572905761.1346555
'h'		1572910495.4868119
'e'		1572910496.0805752
'l'		1572910496.5022843
'l'		1572910496.6274455
'o'		1572910496.9397938
Key.space		1572910498.0961797
't'		1572910498.6430335
'h'		1572910498.7678952
'e'		1572910498.9399128
'r'		1572910499.2524269
'e'		1572910499.4398234
Key.enter		1572955650.9929295
'b'		1572955723.463182
'l'		1572955723.634964
Key.enter		1572955804.528914
<174>		1572955865.7822115
<174>		1572955866.1191452
Key.backspace		1572955902.7110772
Key.enter		1572955904.462454
Key.shift		1572955943.140576
Key.backspace		1572955945.2016013
Key.backspace		1572955945.8011966
Key.backspace		1572955945.844202
Key.backspace		1572955945.8838308
Key.backspace		1572955945.9200761
Key.backspace		1572955945.9569333
Key.backspace		1572955945.9929414
Key.backspace		1572955946.028789
Key.backspace		1572955946.0659387
Key.backspace		1572955946.102283
Key.backspace		1572955946.140107
Key.backspace		1572955946.1746354
Key.backspace		1572955946.2111092
Key.shift		1572955946.2628732
'.'		1572955947.7726161
'-'		1572955947.9427457
Key.shift		1572955948.1030872
Key.enter		1572955949.8208144
Key.backspace		1572955986.968959
Key.down		1572956032.2026808
Key.down		1572956032.4025292
Key.down		1572956032.5920954
Key.down		1572956032.810375
Key.enter		1572956033.0326152
Key.left		1572956042.8775637
Key.left		1572956043.0654178
Key.left		1572956043.20293
Key.left		1572956043.3814354
Key.left		1572956043.5236373
Key.left		1572956044.0512671
Key.enter		1572956044.8611639
Key.shift		1572956064.6087635
Key.backspace		1572956065.3628612
Key.shift		1572956065.7477567
'.'		1572956068.1228232
'-'		1572956068.2625713
Key.enter		1572956068.5311623
Key.space		1572956117.9897652
Key.space		1572956120.6833327
Key.space		1572956121.6595087
Key.backspace		1572956122.329671
Key.backspace		1572956123.3694127
Key.backspace		1572956123.6677775
Key.backspace		1572956123.8551137
Key.backspace		1572956124.0396626
Key.space		1572956125.906424
Key.backspace		1572956127.0145764
Key.enter		1572956127.6700191
Key.space		1572956137.6467803
'h'		1572956138.9981523
Key.enter		1572956139.8446226
Key.space		1572956201.07973
Key.space		1572956201.57637
Key.enter		1572956203.0199924
Key.enter		1572956203.0457118
Key.space		1572956672.6842186
'w'		1572956798.2473702
'o'		1572956798.4197934
'r'		1572956798.9241273
'd'		1572956799.2527685
Key.enter		1572956799.9342332
'w'		1572956809.077705
'e'		1572956809.301763
'a'		1572956809.629852
't'		1572956809.9459374
'h'		1572956810.1022546
'e'		1572956810.3564658
'r'		1572956810.428485
Key.backspace		1572956811.089183
Key.enter		1572956811.5907269
<174>		1572956849.2236042
'l'		1572956861.0376716
Key.shift		1572956861.9162145
'-'		1572956862.1220744
Key.enter		1572956863.0682428
'.'		1572956867.4380746
'-'		1572956867.6064394
Key.shift		1572956867.776942
Key.enter		1572956869.4063795
'a'		1572956871.3887475
Key.enter		1572956871.65736
Key.backspace		1572956876.793173
Key.backspace		1572956876.958567
Key.space		1572956878.2479818
Key.shift		1572956879.6262228
Key.backspace		1572956880.948752
Key.shift		1572956881.488044
Key.enter		1572956886.300245
Key.space		1572956888.2868848
'e'		1572956890.31633
Key.space		1572956890.6280005
Key.backspace		1572956893.2448633
Key.backspace		1572956893.4284956
Key.backspace		1572956893.617835
Key.backspace		1572956893.801453
Key.backspace		1572956894.058555
Key.backspace		1572956894.2563035
Key.shift		1572956894.860798
Key.enter		1572956896.0505428
Key.enter		1572956901.0478547
'.'		1572956906.6288002
